#HSFID	HSFTAG	Desig	JTAG	Ship	LDate	EDate	Dur	Crew	Callsign	Station	Program	Project	OrbID	DS	SSF
# Updated 2021 Dec 20 03:48:53
H00111	STS41C	1984-034	S14897	STS 41-C	1984 Apr  6 1358:00	1984 Apr 13 1338:07	    6:23:40:07	   5	Challenger	-	NASA	STS	ORB95	   0	   0
HA0009	STS41D1	1984-A47	L80526	STS 41-D	1984 Jun 26 1243:06	1984 Jun 26 1243:06	    0:00:00:00	   6	Discovery	-	NASA	STS	-	   0	   0
H00112	T12	1984-073	S15119	Soyuz T-12	1984 Jul 17 1740:54	1984 Jul 29 1255:30	   11:19:14:36	   3	Pamir	Salyut-7	RU	Soyuz	ORB96	   0	  39
H00113	STS41D	1984-093	S15234	STS 41-D	1984 Aug 30 1241:50	1984 Sep  5 1337:54	    6:00:56:04	   6	Discovery	-	NASA	STS	ORB97	   0	   0
H00114	STS41G	1984-108	S15353	STS 41-G	1984 Oct  5 1103:00	1984 Oct 13 1626:33	    8:05:23:33	   7	Challenger	-	NASA	STS	ORB98	   0	   0
H00115	STS51A	1984-113	S15382	STS 51-A	1984 Nov  8 1215:00	1984 Nov 16 1159:56	    7:23:44:56	   5	Discovery	-	NASA	STS	ORB99	   0	   0
H00116	STS51C	1985-010	S15496	STS 51-C	1985 Jan 24 1950:00	1985 Jan 27 2123:23	    3:01:33:23	   5	Discovery	-	NASA	STS	ORB100	   0	   0
H00117	STS51D	1985-028	S15641	STS 51-D	1985 Apr 12 1359:05	1985 Apr 19 1354:28	    6:23:55:23	   7	Discovery	-	NASA	STS	ORB101	   0	   0
H00118	STS51B	1985-034	S15665	STS 51-B	1985 Apr 29 1602:18	1985 May  6 1611:04	    7:00:08:46	   7	Challenger	-	NASA	STS	ORB102	   0	   0
H00119	T13	1985-043	S15804	Soyuz T-13	1985 Jun  6 0639:52	1985 Sep 26 0951:58	  112:03:12:06	   2	Pamir	Salyut-7	RU	Soyuz	ORB103	   0	  40
