#No	Program	Categ	RoleCode	Mission	HSFID	Role	Name	Rank	Employer	Sponsor	ID	LDate	Duration	Segments
# Updated 2022 Jun 03 03:10:47
#
# Human Space Rides
#
    93	RU	M	S11/KDR	Soyuz-11	H00055	Komandir	Georgiy Timofeevich Dobrovol'skiy, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00060	1971 Jun  6 0455:09	   23:18:21 	D1EX2,S11:3
    94	RU	C	S11/BI	Soyuz-11	H00055	Bortinzhener	Vladislav Nikolaevich Volkov	-	OKB1	OKB1	AS-00051	1971 Jun  6 0455:09	   23:18:21 	D1EX2,S11:3
    95	RU	C	S11/II	Soyuz-11	H00055	Inzhener-ispitatel'	Viktor Ivanovich Patsaev	-	OKB1	OKB1	AS-00061	1971 Jun  6 0455:09	   23:18:21 	D1EX2,S11:3
    96	NASA	M	A15/CDR	Apollo 15	H00056	Commander	David Randolph Scott, Col USAF, NASA	Col. USAF	USAF	NASA	AS-00031	1971 Jul 26 1334:00	   12:07:11 	LM10:5,A15:7
    97	NASA	M	A15/CMP	Apollo 15	H00056	Command Module Pilot	Alfred Merrill Worden, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00062	1971 Jul 26 1334:00	   12:07:11:53	-
    98	NASA	M	A15/LMP	Apollo 15	H00056	Lunar Module Pilot	James Benson Irwin, Lt Col USAF, NASA	LtCol. USAF	USAF	NASA	AS-00063	1971 Jul 26 1334:00	   12:07:11 	LM10:5,A15:7
    99	NASA	M	A16/CDR	Apollo 16	H00057	Commander	John Watts Young, Capt USN, NASA	Capt. USN	USN	NASA	AS-00021	1972 Apr 16 1754:00	   11:01:51 	LM11:5,A16:7
   100	NASA	M	A16/CMP	Apollo 16	H00057	Command Module Pilot	Thomas Kenneth Mattingly, Lt Cdr USN, NASA	LtCdr. USN	USN	NASA	AS-00064	1972 Apr 16 1754:00	   11:01:51:05	-
   101	NASA	M	A16/LMP	Apollo 16	H00057	Lunar Module Pilot	Charles Moss Duke, Lt Col USAF, NASA	LtCol. USAF	USAF	NASA	AS-00065	1972 Apr 16 1754:00	   11:01:51 	LM11:5,A16:7
   102	NASA	M	A17/CDR	Apollo 17	H00058	Commander	Eugene Andrew Cernan, Capt USN, NASA	Capt. USN	USN	NASA	AS-00032	1972 Dec  7 0533:00	   12:13:51 	LM12:5,A17:7
   103	NASA	M	A17/CMP	Apollo 17	H00058	Command Module Pilot	Ronald Ellwin Evans, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00066	1972 Dec  7 0533:00	   12:13:51:59	-
   104	NASA	C	A17/LMP	Apollo 17	H00058	Lunar Module Pilot	Harrison Hagan Schmitt, PhD, NASA	-	NASA	NASA	AS-00067	1972 Dec  7 0533:00	   12:13:51 	LM12:5,A17:7
   105	NASA	M	SL2/CDR	Skylab SL-2	H00059	Commander	Charles Conrad, Capt USN, NASA	Capt. USN	USN	NASA	AS-00025	1973 May 25 1300:00	   28:00:49 	SL1EX1,SL2:5
   106	NASA	M	SL2/SPLT	Skylab SL-2	H00059	Science Pilot	Joseph Peter Kerwin, MD, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00068	1973 May 25 1300:00	   28:00:49 	SL1EX1,SL2:5
   107	NASA	M	SL2/PLT	Skylab SL-2	H00059	Pilot	Paul Joseph Weitz, Cdr USN, NASA	Cdr. USN	USN	NASA	AS-00069	1973 May 25 1300:00	   28:00:49 	SL1EX1,SL2:5
   108	NASA	M	SL3/CDR	Skylab SL-3	H00060	Commander	Alan Lavern Bean, Capt USN, NASA	Capt. USN	USN	NASA	AS-00053	1973 Jul 28 1110:50	   59:11:09 	SL1EX2,SL3:3
   109	NASA	C	SL3/SPLT	Skylab SL-3	H00060	Science Pilot	Owen K Garriott, PhD, NASA	-	NASA	NASA	AS-00070	1973 Jul 28 1110:50	   59:11:09 	SL1EX2,SL3:3
   110	NASA	M	SL3/PLT	Skylab SL-3	H00060	Pilot	Jack Robert Lousma, Maj USMC, NASA	Maj. USMC	USMC	NASA	AS-00071	1973 Jul 28 1110:50	   59:11:09 	SL1EX2,SL3:3
   111	RU	M	S12/KDR	Soyuz-12	H00061	Komandir	Vasiliy Grigor'evich Lazarev, MD, Pol VVS	Pol. VVS	VVS	TSPK	AS-00072	1973 Sep 27 1218:16	    1:23:15:32	-
   112	RU	C	S12/BI	Soyuz-12	H00061	Bortinzhener	Oleg Grigor'evich Makarov	-	OKB1	OKB1	AS-00073	1973 Sep 27 1218:16	    1:23:15:32	-
   113	NASA	M	SL4/CDR	Skylab SL-4	H00062	Commander	Gerald Paul Carr, Lt Col USMC, NASA	LtCol. USMC	USMC	NASA	AS-00074	1973 Nov 16 1401:23	   84:01:15 	SL1EX3,SL4:3
   114	NASA	C	SL4/SPLT	Skylab SL-4	H00062	Science Pilot	Edward George Gibson, PhD, NASA	-	NASA	NASA	AS-00075	1973 Nov 16 1401:23	   84:01:15 	SL1EX3,SL4:3
   115	NASA	M	SL4/PLT	Skylab SL-4	H00062	Pilot	William Reid Pogue, Lt Col USAF, NASA	LtCol. USAF	USAF	NASA	AS-00076	1973 Nov 16 1401:23	   84:01:15 	SL1EX3,SL4:3
   116	RU	M	S13/KDR	Soyuz-13	H00063	Komandir	Pyotr Ilich Klimuk, Mai. VVS	Mai. VVS	VVS	TSPK	AS-00077	1973 Dec 18 1155:00	    7:20:55:35	-
   117	RU	C	S13/BI	Soyuz-13	H00063	Bortinzhener	Valentin Vitalevich Lebedev, OKB-1	-	OKB1	OKB1	AS-00078	1973 Dec 18 1155:00	    7:20:55:35	-
   118	RU	M	S14/KDR	Soyuz-14	H00064	Komandir	Pavel Romanovich Popovich, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00009	1974 Jul  3 1851:08	   15:17:30?	OPS2EX1,S14:3
   119	RU	M	S14/BI	Soyuz-14	H00064	Bortinzhener	Yuriy Petrovich Artyukhin, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00079	1974 Jul  3 1851:08	   15:17:30?	OPS2EX1,S14:3
   120	RU	M	S15/KDR	Soyuz-15	H00065	Komandir	Gennadiy Vasilevich Sarafanov, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00080	1974 Aug 26 1958:05	    2:00:12:11	-
   121	RU	M	S15/BI	Soyuz-15	H00065	Bortinzhener	Lev Stepanovich Dyomin, Pol-Inzh. VVS	Pol-Inzh. VVS	VVS	TSPK	AS-00081	1974 Aug 26 1958:05	    2:00:12:11	-
   122	RU	M	S16/KDR	Soyuz-16	H00066	Komandir	Anatoli Vasilevich Filipchenko, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00050	1974 Dec  2 0940:00	    5:22:23:35	-
   123	RU	C	S16/BI	Soyuz-16	H00066	Bortinzhener	Nikolai Nikolaevich Rukavishnikov	-	NPOE	NPOE	AS-00059	1974 Dec  2 0940:00	    5:22:23:35	-
   124	RU	M	S17/KDR	Soyuz-17	H00067	Komandir	Aleksey Aleksandrovich Gubarev, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00082	1975 Jan 10 2143:37	   29:13:19 	D4EX1,S17:3
   125	RU	C	S17/BI	Soyuz-17	H00067	Bortinzhener	Georgiy Mikhailovich Grechko	-	NPOE	NPOE	AS-00083	1975 Jan 10 2143:37	   29:13:19 	D4EX1,S17:3
   126	RU	M	S18A/KDR	Soyuz	H00068	Komandir	Vasiliy Grigor'evich Lazarev, MD, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00072	1975 Apr  5 1104:54	    0:00:21:27	-
   127	RU	C	S18A/BI	Soyuz	H00068	Bortinzhener	Oleg Grigor'evich Makarov	-	NPOE	NPOE	AS-00073	1975 Apr  5 1104:54	    0:00:21:27	-
